,domain,url,urlType,T_totalTweets,T_totalRetweets,T_totalLikes,T_totalReplies,T_span,T_countWeekDay,T_countWeekEnd,T_countMonday,T_countTuesday,T_countWednesday,T_countThursday,T_countFriday,T_countSaturday,T_countSunday,T_avgTimeBetweenTweets,T_avgTimeOfNextTweet,T_timeAbsBin1count0to6,T_timeAbsBin2count6to12,T_timeAbsBin3count12to18,T_timeAbsBin4count18to24,T_timeAbsBin5count24plus,T_avgTweetsPerUniqUser
958,www.huffingtonpost.com,http://www.huffingtonpost.com/marybeth-gasman/give-students-comfort-and_b_13111616.html,Reliable,9,14,12,3,55.93333333,9,0,6,2,0,1,0,0,0,6.991666667,12.12083333,6,1,0,1,1,1.125
959,www.theguardian.com,https://www.theguardian.com/environment/2016/nov/21/only-a-third-of-uk-consumer-plastic-packaging-is-recycled,Reliable,175,147,121,7,30947.38333,149,26,43,50,15,16,25,13,13,177.8585249,9091.405843,2,0,0,0,173,1.666666667
960,www.businessinsider.com,http://www.businessinsider.com/pokemon-sun-moon-move-type-effectiveness-2016-11,Reliable,51,10,16,0,24,51,0,48,3,0,0,0,0,0,0.48,1.553333333,48,0,0,3,0,1.040816327
961,www.reuters.com,http://www.reuters.com/article/us-india-coal-idUSKBN13G0SU,Reliable,15,0,0,0,23.25,15,0,12,3,0,0,0,0,0,1.660714286,9.679761905,6,4,2,3,0,7.5
962,www.reuters.com,http://www.reuters.com/article/egypt-currency-idUSL8N1DM1SW,Reliable,4,2,0,0,4.216666667,4,0,4,0,0,0,0,0,0,1.405555556,2.444444444,4,0,0,0,0,1
963,www.huffingtonpost.com,http://www.huffingtonpost.com/john-mariani/eating-around-winstonsale_b_13125930.html,Reliable,5,3,4,0,213.25,5,0,3,0,2,0,0,0,0,53.3125,102.9291667,3,0,0,0,2,1.25
964,uk.reuters.com,http://uk.reuters.com/article/us-global-markets-idUKKBN13G01L,Reliable,6,0,0,0,22.58333333,6,0,5,1,0,0,0,0,0,4.516666667,8.656666667,4,0,1,1,0,1
965,people.com,http://people.com/home/how-to-avoid-political-showdown-at-the-thanksgiving-table-lizzie-post/,Reliable,20,38,95,9,8783.3,20,0,9,3,4,4,0,0,0,462.2789474,947.6131579,9,1,0,0,10,1.25
966,www.huffingtonpost.com,http://www.huffingtonpost.com/james-schlarmann/mlb-institutes-electoral-_b_12959068.html,Reliable,15,0,2,0,7050.816667,15,0,13,2,0,0,0,0,0,503.6297619,5472.961905,1,0,0,0,14,1.153846154
967,www.huffingtonpost.com,http://www.huffingtonpost.com/entry/amas-censor-chrissy-teigens-election-diss-because-nothing-is-fair_us_58325e7ce4b030997bc01795,Reliable,16,9,18,4,20.16666667,16,0,15,1,0,0,0,0,0,1.344444444,4.341111111,12,2,1,1,0,1.066666667
968,www.yahoo.com,https://www.yahoo.com/news/iraq-shiite-paramilitaries-close-cutting-mosul-supply-route-093016847.html?ref=gs,Reliable,6,0,0,0,0.916666667,6,0,6,0,0,0,0,0,0,0.183333333,0.476666667,6,0,0,0,0,1
969,www.theguardian.com,https://www.theguardian.com/music/2016/nov/21/slaves-barrowlands-glasgow-review,Reliable,2,1,0,0,1.9,2,0,0,2,0,0,0,0,0,1.9,1.9,2,0,0,0,0,1
970,www.reuters.com,http://www.reuters.com/article/idUSASC09JU0,Reliable,2,0,0,0,0.233333333,2,0,2,0,0,0,0,0,0,0.233333333,0.233333333,2,0,0,0,0,1
971,people.com,http://people.com/tv/a-definitive-ranking-of-the-friends-thanksgiving-episodes/,Reliable,12,0,1,3,8817.266667,12,0,3,1,0,4,4,0,0,801.569697,3231.590909,3,1,0,0,8,1
972,www.huffingtonpost.com,http://www.huffingtonpost.com/entry/get-to-know-the-breakout-star-of-manchester-by-the-sea-lucas-hedges_us_582cdf58e4b030997bbd632e,Reliable,10,0,0,0,5518.966667,9,1,6,1,0,0,2,1,0,613.2185185,1037.712963,1,0,0,0,9,1.111111111
973,www.reuters.com,http://www.reuters.com/article/us-mideast-crisis-syria-aleppo-idUSKBN13F0QI,Reliable,3,1,2,1,8.266666667,1,2,1,0,0,0,0,0,2,4.133333333,4.433333333,2,1,0,0,0,1
974,www.reuters.com,http://www.reuters.com/article/us-britain-eu-industry-idUSKBN13G00D,Reliable,26,1,2,0,184.2666667,26,0,22,3,1,0,0,0,0,7.370666667,21.26133333,3,16,2,2,3,1.238095238
975,www.ndtv.com,http://www.ndtv.com/world-news/pakistans-powerful-army-chief-raheel-sharif-begins-farewell-visits-1628169,Reliable,9,4,24,6,3.566666667,9,0,9,0,0,0,0,0,0,0.445833333,0.50625,9,0,0,0,0,1.125
976,newsinfo.inquirer.net,http://newsinfo.inquirer.net/846362/doj-summons-de-lima-on-criminal-raps,Reliable,4,5,7,1,0.983333333,4,0,4,0,0,0,0,0,0,0.327777778,0.527777778,4,0,0,0,0,1
977,www.latimes.com,http://www.latimes.com/la-me-ln-garcetti-priebus-funds-20161121-story.html,Reliable,3,1,2,0,0.2,3,0,0,3,0,0,0,0,0,0.1,0.141666667,3,0,0,0,0,1
978,newsinfo.inquirer.net,http://newsinfo.inquirer.net/846323/grease-triggers-fire-in-makati-mall-resto-no-one-hurt-losses-at-p20k,Reliable,3,1,2,0,0.583333333,3,0,3,0,0,0,0,0,0,0.291666667,0.408333333,3,0,0,0,0,1
979,www.huffingtonpost.com,http://www.huffingtonpost.com/amanda-waggener/broken-and-crumbly_b_12958914.html,Reliable,3,1,4,0,2.716666667,3,0,2,1,0,0,0,0,0,1.358333333,1.4,3,0,0,0,0,1.5
980,www.yahoo.com,https://www.yahoo.com/news/ap-too-quiet-set-filming-050250520.html?ref=gs,Reliable,15,0,0,0,37.11666667,15,0,14,1,0,0,0,0,0,2.651190476,3.723809524,14,0,0,0,1,1
981,abcnews.go.com,http://abcnews.go.com/Lifestyle/video/shelter-sends-animals-home-thanksgiving-option-adopt-43698078,Reliable,1,0,0,0,-1,1,0,0,1,0,0,0,0,0,-1,-1,1,0,0,0,0,1
982,www.cbssports.com,http://www.cbssports.com/nfl/news/bears-jay-cutler-reportedly-could-miss-the-rest-of-the-season/,Reliable,27,0,0,0,14.31666667,27,0,22,5,0,0,0,0,0,0.550641026,1.347435897,25,1,1,0,0,1
983,indianexpress.com,http://indianexpress.com/article/education/take-risks-innovate-create-make-a-difference-president-to-students/,Reliable,3,0,0,0,2.183333333,3,0,3,0,0,0,0,0,0,1.091666667,1.475,3,0,0,0,0,1.5
984,www.cnbc.com,http://www.cnbc.com/2016/11/21/feds-fischer-says-low-interest-rates-make-us-economy-more-vulnerable-to-shocks.html,Reliable,68,5,6,1,5138.666667,68,0,65,0,0,3,0,0,0,76.69651741,4604.29801,1,0,0,0,67,1.0625
985,www.yahoo.com,https://www.yahoo.com/news/india-train-disaster-toll-rises-142-more-dead-070125438.html?ref=gs,Reliable,5,1,0,0,1.4,5,0,5,0,0,0,0,0,0,0.35,0.6875,5,0,0,0,0,1
