,domain,url,urlType,R_norm_full_text_Flesch_reading_ease,R_norm_full_text_Flesch_kincaid_grade,R_norm_full_text_smog,R_norm_full_text_gunning_fog,R_norm_full_text_words_per_sentence,R_norm_full_text_capitalized_words,R_norm_full_text_lexicon,R_norm_full_text_urls_counts,R_norm_full_text_long_words,R_norm_full_text_syllables,R_norm_full_text_stop_words,R_norm_full_text_sentences,R_norm_full_text_linsear_write,R_norm_full_text_automated_readability,R_norm_full_text_characters_total,R_norm_full_text_coleman_liax,R_norm_full_text_difficult_words,R_norm_full_text_words_total
9543,threepercenternation.com,http://threepercenternation.com/2016/10/kaine-terror-threat-lower/,Fake,0.735385867,0.293103448,0.530744337,0.325171424,0.385781306,0.048672566,0.049226442,0,0.047766475,0.044488832,0.130207074,0.04887218,0.277173913,0.347457627,0.046832464,0.437294504,0.048714479,0.049970606
9544,thefreepatriot.org,http://thefreepatriot.org/cop-nearly-kills-innocent-man-in-front-of-7-yo-daughter-when-you-find-out-why-youll-be-furious/,Fake,0.606944256,0.252873563,0.488673139,0.283609745,0.446926728,0.116519174,0.182137834,0,0.168951791,0.171055021,0.03286452,0.184210526,0.142391304,0.315677966,0.174595118,0.445279474,0.163734777,0.188124633
9545,threepercenternation.com,http://threepercenternation.com/2017/01/trump-to-hit-the-ground-running-by-immediately-signing-200-executive-orders/,Fake,0.263257833,0.275862069,0.54368932,0.553582881,0.444785276,0.085545723,0.067862166,0,0.065457762,0.073905938,0.100486941,0.060150376,0.309782609,0.286016949,0.068887556,0.57820573,0.092016238,0.065843621
9546,threepercenternation.com,http://threepercenternation.com/2017/01/the-price-democrats-have-paid-for-eight-years-of-obama/,Fake,0.755187848,0.040229885,0.352750809,0.322309903,0.297546012,0.05899705,0.050632911,0,0.042459089,0.045215181,0.126124013,0.060150376,0.042701863,0.118644068,0.046186499,0.299671207,0.054127199,0.051734274
9547,threepercenternation.com,http://threepercenternation.com/2017/01/7-hardcore-truths-about-trumps-refugee-orders-that-will-make-a-liberal-cringe/,Fake,0.397395904,0.350574713,0.621359223,0.511812215,0.358155278,0.337758112,0.367440225,0,0.379920389,0.402215362,0.013127181,0.421052632,0.217391304,0.375,0.382734278,0.627524659,0.50879567,0.371840094
9548,threepercenternation.com,http://threepercenternation.com/2017/01/obama-exposing-mental-illness-while-lecturing-israel-one-last-time/,Fake,0.402821104,0.304597701,0.585760518,0.519960918,0.333688984,0.073746313,0.067158931,0,0.061477222,0.067913565,0.102242786,0.071428571,0.192934783,0.338983051,0.06431966,0.494598403,0.092016238,0.064667842
9549,threepercenternation.com,http://threepercenternation.com/2017/01/obamas-lack-of-transparency-responsible-for-trumps-media-wars/,Fake,0.285772413,0.32183908,0.588996764,0.512106829,0.344358496,0.175516224,0.216244726,0,0.218045113,0.236607954,0.028204642,0.244360902,0.25,0.355932203,0.228348637,0.660403946,0.294993234,0.21340388
9550,threepercenternation.com,http://threepercenternation.com/2017/02/obama-allies-conspired-against-flynn-to-hide-secret-iran-deal-details/,Fake,0.395903974,0.24137931,0.521035599,0.626898778,0.365030675,0.116519174,0.075246132,0,0.076514816,0.078808789,0.092857143,0.07518797,0.105978261,0.279661017,0.075393347,0.562235791,0.115020298,0.071428571
9551,threepercenternation.com,http://threepercenternation.com/2017/02/the-alt-left-trying-to-make-america-ungovernable-video/,Fake,0.230977892,0.362068966,0.614886731,0.720332592,0.588459625,0.137168142,0.14838256,0,0.152587351,0.170328673,0.04145421,0.12406015,0.201086957,0.379237288,0.160845291,0.693283232,0.244925575,0.154027043
9552,threepercenternation.com,http://threepercenternation.com/2017/02/obamas-seditious-scheme-to-attack-president-trump/,Fake,0.512274515,0.270114943,0.530744337,0.436150109,0.357609341,0.169616519,0.191279887,0,0.180451128,0.190666425,0.031504486,0.218045113,0.967391304,0.326271186,0.190375121,0.529826209,0.239512855,0.194885362
9553,threepercenternation.com,http://threepercenternation.com/2014/09/breaking-ebola-outbreak-guinea-health-team-of-8-massacred/,Fake,0.532754645,0.293103448,0.504854369,0.567409757,0.266432954,0.030973451,0.033755274,0,0.035382574,0.032504086,0.193650794,0.037593985,0.176630435,0.368644068,0.034374567,0.608736496,0.051420839,0.031746032
9554,threepercenternation.com,http://threepercenternation.com/2014/08/obama-we-need-war-plan-against-isis-by-the-end-of-the-week/,Fake,0.496134545,0.201149425,0.498381877,0.593535717,0.429447853,0.03539823,0.029535865,0,0.027421495,0.029053931,0.213317847,0.022556391,0.142391304,0.23940678,0.028376321,0.458431188,0.043301759,0.028218695
9555,threepercenternation.com,http://threepercenternation.com/2014/09/emma-watson-being-a-feminist-doesnt-make-me-man-hating/,Fake,0.492879425,0.32183908,0.566343042,0.619051126,0.443908852,0.045722714,0.093178622,0,0.090225564,0.096422735,0.06959707,0.090225564,0.092391304,0.351694915,0.093941771,0.543447628,0.144790257,0.095238095
9556,threepercenternation.com,http://threepercenternation.com/2014/09/video-6-million-confined-to-homes-in-effort-to-contain-ebola-outbreak/,Fake,0.605045436,0.468390805,0.631067961,0.520036899,0.455351057,0.028023599,0.055907173,0,0.052631579,0.054476121,0.110903168,0.052631579,0.160326087,0.497881356,0.054307203,0.500234852,0.078484438,0.059376837
9557,threepercenternation.com,http://threepercenternation.com/2014/09/algerian-islamists-threaten-to-execute-hostage-unless-france-halts-isis-attacks/,Fake,0.643835616,0.215517241,0.488673139,0.3920678,0.282766313,0.069321534,0.054852321,0.25,0.057496683,0.054657708,0.116899665,0.067669173,0.145652174,0.351694915,0.060582291,0.687177078,0.067658999,0.056143445
9558,threepercenternation.com,http://threepercenternation.com/2014/09/al-qaeda-fires-rocket-at-us-embassy-in-yemen/,Fake,0.618744066,0.264367816,0.504854369,0.482734009,0.39431121,0.032448378,0.0302391,0,0.031402034,0.029417106,0.203026947,0.026315789,0.168478261,0.286016949,0.028422461,0.423203382,0.039242219,0.029982363
9559,threepercenternation.com,http://threepercenternation.com/2014/09/video-toronto-mosque-teaches-4-5-year-olds-beheading/,Fake,0.592567476,0.221264368,0.404530744,0.425502688,0,0.013274336,0.007383966,0.25,0.007518797,0.009442528,0.505540581,0.022556391,0.073369565,0.440677966,0.012042634,1,0.0135318,0.007642563
9560,threepercenternation.com,http://threepercenternation.com/2014/09/life-inside-isis-for-women-brave-woman-wears-hidden-camera/,Fake,0.674081107,0.183908046,0.375404531,0.118608809,0.147600144,0.020648968,0.032348805,0.25,0.027421495,0.029235518,0.199806131,0.04887218,0.093478261,0.288135593,0.032482813,0.48849225,0.02165088,0.030570253
9561,threepercenternation.com,http://threepercenternation.com/2014/09/isis-to-sleeper-cells-in-america-rig-the-roads-with-explosives-for-them-attack-their-bases-raid-their-homes-cut-off-their-heads-do-not-let-them-feel-secure/,Fake,0.924860979,0,0.30420712,0.182589384,0.053169734,0.028023599,0.014064698,0,0.010614772,0.01053205,0.35982411,0.030075188,0.015217391,0.080508475,0.011442809,0.212306247,0.01217862,0.013815403
9562,threepercenternation.com,http://threepercenternation.com/2014/09/update-shock-breaking-oklahoma-muslim-beheads-christian-co-worker-suspected-of-refusing-to-convert-to-islam-bystander-with-rifle-saves-the-day/,Fake,0.471042995,0.201149425,0.498381877,0.800561194,0.541411043,0.051622419,0.024261603,0,0.026094648,0.026330125,0.232897879,0.015037594,0.144021739,0.241525424,0.024592811,0.515265383,0.048714479,0.025279248
9563,threepercenternation.com,http://threepercenternation.com/2014/09/video-cdc-report-as-many-as-1-4-million-people-could-be-infected-with-ebola-by-2015/,Fake,0.249559202,0.275862069,0.521035599,0.842008287,0.505856107,0.048672566,0.038326301,0,0.038036267,0.041401852,0.174709705,0.026315789,0.135869565,0.294491525,0.039588428,0.57820573,0.071718539,0.035861258
9564,threepercenternation.com,http://threepercenternation.com/2014/08/reduce-or-stop-it-china-vows-to-respond-to-us-close-surveillance-patrols/,Fake,0.253899363,0.344827586,0.582524272,0.859641223,0.48655026,0.044247788,0.047116737,0,0.048208757,0.048302161,0.150286083,0.033834586,0.205163043,0.370762712,0.046694043,0.581493659,0.086603518,0.042621987
9565,threepercenternation.com,http://threepercenternation.com/2014/08/us-cdc-director-ebola-outbreak-is-going-get-worse-before-it-gets-better/,Fake,0.665129527,0.290229885,0.514563107,0.448209999,0.187554777,0.036873156,0.029887482,0,0.023883238,0.02542219,0.224664225,0.037593985,0.260869565,0.338983051,0.026069303,0.363550963,0.037889039,0.026455026
9566,threepercenternation.com,http://threepercenternation.com/2014/08/canada-shows-up-obama-by-standing-up-to-russia/,Fake,0.505493015,0.235632184,0.45631068,0.835587131,0.38803681,0.029498525,0.021448664,0,0.022998673,0.020337752,0.28469022,0.015037594,0.195652174,0.343220339,0.021732109,0.595115078,0.043301759,0.019400353
9567,threepercenternation.com,http://threepercenternation.com/2017/02/15000-highly-skilled-jobs-to-be-created-by-accenture-maga/,Fake,0.370269904,0.224137931,0.501618123,0.615920079,0.479209271,0.078171091,0.065400844,0,0.061919505,0.064826584,0.107378262,0.052631579,0.188858696,0.279661017,0.064181239,0.504931893,0.092016238,0.06143445
9568,threepercenternation.com,http://threepercenternation.com/2014/08/americans-fighting-alongside-isis/,Fake,0.495320765,0.304597701,0.553398058,0.648767188,0.433351924,0.041297935,0.035161744,0,0.03449801,0.034319956,0.192168534,0.026315789,0.19701087,0.347457627,0.034143866,0.532644434,0.052774019,0.032039976
9569,threepercenternation.com,http://threepercenternation.com/2015/09/maher-trashes-ahmed-mohamed/,Fake,0.705276007,0.094827586,0.339805825,0.399733422,0.520109066,0.036873156,0.029535865,0,0.025652366,0.026148538,0.211533538,0.018796992,0.09673913,0.163135593,0.026622987,0.333020197,0.028416779,0.02851264
9570,threepercenternation.com,http://threepercenternation.com/2015/08/what-trump-could-have-asked-megyn-kelly/,Fake,0.533568425,0.218390805,0.491909385,0.369618724,0.262616268,0.073746313,0.079465541,0,0.077399381,0.078990376,0.083694084,0.101503759,0.092391304,0.271186441,0.077977207,0.513386566,0.093369418,0.079365079
