,domain,url,urlType,T_normTotalTweets,T_normTotalRetweets,T_normTotalLikes,T_normTotalReplies,T_normCountWeekDay,T_normCountWeekEnd,T_normCountMonday,T_normCountTuesday,T_normCountWednesday,T_normCountThursday,T_normCountFriday,T_normCountSaturday,T_normCountSunday,T_normAvgTweetsPerUniqUser,T_normTimeAbsBin1count0to6,T_normTimeAbsBin2count6to12,T_normTimeAbsBin3count12to18,T_normTimeAbsBin4count18to24,T_normTimeAbsBin5count24plus,T_normSpan,T_normAvgTimeBetweenTweets,T_normAvgTimeOfNextTweet,T_percentWeekDayByTotalTweets,T_percentWeekEndByTotalTweets,T_percentMondayByTotalTweets,T_percentTuesdayByTotalTweets,T_percentWednesdayByTotalTweets,T_percentThursdayByTotalTweets,T_percentFridayByTotalTweets,T_percentSaturdayByTotalTweets,T_percentSundayByTotalTweets
3497,abcnews.go.com,http://abcnews.go.com/Sports/wireStory/ap-heisman-watch-westbrook-catching-contenders-43551976,Reliable,0.000849137,0,0,0,0.001136687,0,0,0.003005259,0,0,0,0,0,0.007407407,1,0,0,0,0,-1,0,0,1,0,0,1,0,0,0,0,0
3498,www.cbssports.com,http://www.cbssports.com/college-football/news/watch-urban-meyers-priceless-reaction-after-learning-ex-players-can-join-practice/,Reliable,0.009906595,0.000283152,0.000696864,0,0.009946007,0.000904159,0,0.025544703,0.000493827,0,0,0.001269036,0,0.002020202,0.944444444,0,0.027777778,0,0.027777778,0.000978304,7.09E-05,5.6E-05,0.972222222,0.027777778,0,0.944444444,0.027777778,0,0,0.027777778,0
3499,www.bloomberg.com,http://www.bloomberg.com/politics/videos/2016-11-15/glaude-obama-bares-a-lot-of-blame-for-democratic-debacle,Reliable,0,4.72E-05,0,0,0.000284172,0,0,0,0.000493827,0,0,0,0,0,1,0,0,0,0,-1,-1,-1,1,0,0,0,1,0,0,0,0
3500,www.cnbc.com,http://www.cnbc.com/2016/11/15/heartland-dominates-list-of-the-25-best-cities-for-working-women.html,Reliable,0.013020096,0.000943841,0.001876173,0.001106195,0.013071895,0.000904159,0.003401361,0,0.018271605,0.015189873,0,0.001269036,0,0.000987654,0.723404255,0.063829787,0.042553191,0,0.170212766,0.00225184,0.000124144,0.000405712,0.978723404,0.021276596,0.063829787,0,0.787234043,0.127659574,0,0.021276596,0
3501,www.cnbc.com,http://www.cnbc.com/2016/11/15/reuters-america-update-1-electric-car-startup-faraday-future-halts-work-on-nevada-factory.html,Reliable,0.000283046,0,0,0,0.000568343,0,0.001133787,0,0,0,0.007042254,0,0,0,0.5,0,0,0,0.5,0.000649302,0.001646622,0.001039694,1,0,0.5,0,0,0,0.5,0,0
3502,uk.reuters.com,http://uk.reuters.com/article/uk-soccer-england-mun-ibrahimovic-idUKKBN13I1XU,Reliable,0.000283046,0,0,0,0.000568343,0,0,0,0.000493827,0.002531646,0,0,0,0,0.5,0.5,0,0,0,0.00011167,0.000283194,0.000178811,1,0,0,0,0.5,0.5,0,0,0
3503,www.cbsnews.com,http://www.cbsnews.com/news/search-for-babysitter-after-infant-in-his-care-dies/,Reliable,0.000566091,0,0,0,0.000852515,0,0,0,0.000987654,0.002531646,0,0,0,0,0.666666667,0.333333333,0,0,0,8.14E-05,0.000103242,6.97E-05,1,0,0,0,0.666666667,0.333333333,0,0,0
3504,abcnews.go.com,http://abcnews.go.com/International/wireStory/agency-china-tops-world-patent-applications-43735019,Reliable,0.003113501,0,0,0,0.00341006,0,0,0,0.004444444,0.005063291,0.007042254,0,0,0.002020202,0.75,0,0.083333333,0,0.166666667,0.00047755,0.000110096,0.00018611,1,0,0,0,0.75,0.166666667,0.083333333,0,0
3505,people.com,http://people.com/human-interest/veteran-combats-stutter-by-reading-to-his-daughter-every-night/,Reliable,0.001698273,0.002265219,0.014258912,0.000553097,0.00170503,0.000904159,0,0.000751315,0.001975309,0.002531646,0,0,0.001150748,0,0.142857143,0,0,0,0.857142857,0.068265213,0.028853276,0.092205274,0.857142857,0.142857143,0,0.142857143,0.571428571,0.142857143,0,0,0.142857143
3506,www.ndtv.com,http://www.ndtv.com/world-news/us-offers-mobile-device-guidelines-to-curb-driver-distraction-1629352,Reliable,0.001415228,0.000141576,0.000536049,0,0.00170503,0,0,0,0.002469136,0.002531646,0,0,0,0,0.333333333,0.666666667,0,0,0,0.00012493,6.34E-05,0.000118102,1,0,0,0,0.833333333,0.166666667,0,0,0
