,domain,url,urlType,M_dollar,M_dblApostrophe,M_comma,M_-LRB-,M_-RRB-,M_dot,M_colon,M_ADD,M_AFX,M_CC,M_CD,M_DT,M_EX,M_FW,M_HYPH,M_IN,M_JJ,M_JJR,M_JJS,M_LS,M_MD,M_NFP,M_NN,M_NNP,M_NNPS,M_NNS,M_PDT,M_POS,M_PRP,M_PRP$,M_RB,M_RBR,M_RBS,M_RP,M_SYM,M_TO,M_UH,M_VB,M_VBD,M_VBG,M_VBN,M_VBP,M_VBZ,M_WDT,M_WP,M_WP$,M_WRB,M_XX,M__SP,M_dblSpecialApostrophe
3424,www.cbssports.com,http://www.cbssports.com/college-basketball/news/look-dayton-marquette-basketball-teams-use-hillary-clintons-campaign-plane/,Reliable,-1,-1,11,1,1,14,1,-1,-1,-1,5,1,-1,-1,-1,-1,6,1,-1,-1,1,-1,44,29,3,3,-1,-1,-1,-1,7,1,-1,-1,-1,-1,-1,5,4,4,2,2,2,-1,-1,-1,-1,-1,-1,-1
3425,www.latimes.com,http://www.latimes.com/sports/la-sp-klinsmann-soccer-hernandez-20161116-story.html,Reliable,-1,-1,62,3,3,75,4,-1,-1,-1,38,6,-1,-1,10,13,73,2,1,-1,5,4,167,221,22,37,-1,-1,1,-1,51,-1,-1,2,17,-1,-1,30,35,25,16,20,24,-1,-1,-1,-1,-1,-1,-1
3426,www.usatoday.com,http://www.usatoday.com/story/sports/ncaab/2016/11/18/josh-hart-scores-30-leads-no-3-villanova-past-wake-forest/94084068/,Reliable,-1,-1,91,88,88,110,4,1,-1,1,143,5,-1,-1,19,15,80,1,2,7,6,4,273,907,21,45,-1,-1,4,-1,71,1,-1,1,15,-1,1,22,54,15,10,16,67,-1,-1,-1,-1,-1,-1,-1
3427,www.chron.com,http://www.chron.com/cars/article/Showstopping-AutoRama-1964-El-Camino-has-10623740.php,Reliable,3,13,65,1,1,54,14,-1,-1,1,58,1,-1,-1,27,18,86,4,2,-1,5,-1,215,245,5,56,-1,-1,-1,-1,29,1,-1,3,6,-1,2,17,48,11,21,17,14,-1,-1,-1,-1,-1,-1,5
3428,www.theguardian.com,https://www.theguardian.com/us-news/video/2016/nov/19/trump-shows-off-nixon-letter-fox-news-show-objectified-video,Reliable,-1,-1,1,-1,-1,3,4,-1,-1,-1,4,-1,-1,-1,-1,1,6,-1,-1,-1,1,-1,30,43,-1,2,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,2,2,-1,5,1,6,-1,-1,-1,-1,-1,-1,-1
3429,www.cbsnews.com,http://www.cbsnews.com/videos/college-students-find-a-way-to-fix-fake-news/,Reliable,-1,3,5,-1,-1,4,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,4,-1,-1,-1,-1,-1,14,5,-1,9,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,1,1,-1,2,4,1,-1,-1,-1,-1,-1,-1,3
3430,www.wsj.com,http://www.wsj.com/video/opinion-journal-obamacare-repeal-and-delay/4D9AB277-6D14-4E14-BA28-A095BA8C1C3A.html,Reliable,-1,-1,-1,-1,-1,4,6,-1,-1,-1,3,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,7,15,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1
3431,www.latimes.com,http://www.latimes.com/sports/boxing/la-sp-sn-boxing-andre-ward-sergey-kovalev-20161118-story.html,Reliable,-1,-1,-1,1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,4,-1,2,-1,-1,-1,-1,-1,10,31,2,-1,-1,-1,-1,-1,2,-1,-1,2,2,-1,-1,3,3,3,-1,-1,2,-1,-1,-1,-1,-1,-1,-1
3432,www.ndtv.com,http://www.ndtv.com/world-news/the-north-pole-is-an-insane-36-degrees-warmer-than-normal-as-winter-descends-1627445,Reliable,3,19,60,5,5,48,2,-1,-1,2,17,4,-1,-1,15,16,100,5,1,-1,3,1,162,131,-1,44,-1,-1,1,-1,46,1,-1,1,5,-1,1,10,27,16,10,12,13,-1,-1,-1,-1,-1,-1,13
3433,www.nydailynews.com,http://www.nydailynews.com/sports/football/giants/party-time-giants-good-times-rolling-bears-article-1.2879453,Reliable,-1,-1,39,4,4,59,2,-1,-1,1,16,1,-1,-1,6,7,46,3,2,-1,3,1,116,79,10,34,-1,-1,16,-1,26,-1,-1,-1,5,-1,3,23,21,29,8,12,15,-1,1,-1,-1,-1,-1,-1
